"","t","meanDisplacement","pred"
"1",3,1.85246972981681,3
"2",4,2.12451094336143,4
"3",5,2.37466510682418,5
"4",6,2.5976751122718,6
"5",7,2.80399401114359,7
"6",9,3.17596918798605,9
"7",10,3.34645446078787,10
"8",12,3.66366959513083,12
"9",15,4.09356085334239,15
"10",18,4.48234185762081,18
"11",21,4.83995166141657,21
"12",25,5.27917571765654,25
"13",30,5.78143051584335,30
"14",35,6.24338339114671,35
"15",42,6.83785837689449,42
"16",50,7.45944609131868,50
"17",60,8.17017531209878,60
"18",72,8.94882893488266,72
"19",86,9.77919428689211,86
"20",102,10.6491816252721,102
"21",122,11.6456151289567,122
"22",145,12.6951841122558,145
"23",173,13.8660955647235,173
"24",207,15.1668648480407,207
"25",247,16.5669318850968,247
"26",294,18.0739498350533,294
"27",351,19.7478926550472,351
"28",419,21.5756518119886,419
"29",499,23.5449961124397,499
"30",596,25.7314429513144,596
"31",711,28.1040994901765,711
"32",848,30.6921730308052,848
"33",1011,33.5120466870901,1011
"34",1206,36.6012035301069,1206
"35",1439,39.9805739240501,1439
"36",1717,43.6718089171772,1717
"37",2048,47.6956567783598,2048
"38",2443,52.0923273221514,2443
"39",2914,56.892532156751,2914
"40",3476,62.1368283399447,3476
"41",4146,67.8613916912823,4146
"42",4946,74.1198030970192,4946
"43",5900,80.9529055736647,5900
"44",7038,88.4159104348142,7038
"45",8396,96.5698280085281,8396
"46",10015,105.470292967675,10015
"47",11947,115.1947715754,11947
"48",14251,125.811378154126,14251
"49",17000,137.402693223184,17000
