"","shape","scale","id","time","displacement"
"1","PN",20,1,312.019999999997,18.6629648507582
"2","PL",20,2,330.459999999999,17.9052287564835
"3","PH",20,3,360.370000000003,16.1476946600188
"4","CH",20,4,1.12999999999738,18.5666682701938
"5","MH",20,5,1.41000000000349,18.7388011392918
"6","BH",20,6,1.0199999999968,18.4025057262363
"7","CL",20,7,0.909999999996217,19.7025229228942
"8","ML",20,8,1.2699999999968,19.6405723239218
"9","BL",20,9,0.629999999997381,19.4548720557172
"10","NL",20,10,0.700000000004366,19.909687636067
"11","E",20,11,0.940000000002328,19.5943050621849
"12","U",20,12,0.540000000000873,20.0409458933916
